"","par","est","se","true","method","id","seed","n","skew","ncat","admissible","time"
"157","X=~x1",0.660279682966877,0.400813144836823,0.5,"MC-OrdPLSc",1204,7775358,500,"Symmetric","2",TRUE,23.45
"158","X=~x2",0.475117094665114,0.223646641705601,0.5,"MC-OrdPLSc",1204,7775358,500,"Symmetric","2",TRUE,23.45
"159","X=~x3",0.390457726765258,0.231566761385928,0.5,"MC-OrdPLSc",1204,7775358,500,"Symmetric","2",TRUE,23.45
"160","Z=~z1",0.298516209054912,0.13624436877115,0.5,"MC-OrdPLSc",1204,7775358,500,"Symmetric","2",TRUE,23.45
"161","Z=~z2",0.605274465456902,0.137391713026101,0.5,"MC-OrdPLSc",1204,7775358,500,"Symmetric","2",TRUE,23.45
"162","Z=~z3",0.564844458180189,0.141220381644887,0.5,"MC-OrdPLSc",1204,7775358,500,"Symmetric","2",TRUE,23.45
"163","Y=~y1",0.623595283999676,0.161346771329376,0.5,"MC-OrdPLSc",1204,7775358,500,"Symmetric","2",TRUE,23.45
"164","Y=~y2",0.329378713569472,0.139235870163504,0.5,"MC-OrdPLSc",1204,7775358,500,"Symmetric","2",TRUE,23.45
"165","Y=~y3",0.421042362417215,0.149404842064764,0.5,"MC-OrdPLSc",1204,7775358,500,"Symmetric","2",TRUE,23.45
"166","Y~X",0.33624600580668,0.228810258518491,0.4,"MC-OrdPLSc",1204,7775358,500,"Symmetric","2",TRUE,23.45
"167","Y~Z",0.541259732893311,0.18085289171903,0.5,"MC-OrdPLSc",1204,7775358,500,"Symmetric","2",TRUE,23.45
"168","Y~X:Z",0.586928322258709,0.356309374342846,0.3,"MC-OrdPLSc",1204,7775358,500,"Symmetric","2",TRUE,23.45
"169","X~~Z",0.294710818800642,0.137261596315366,0.2,"MC-OrdPLSc",1204,7775358,500,"Symmetric","2",TRUE,23.45
"170","X=~x1",NA,NA,0.5,"PLSc",1204,7775358,500,"Symmetric","2",FALSE,5.23000000000002
"171","X=~x2",NA,NA,0.5,"PLSc",1204,7775358,500,"Symmetric","2",FALSE,5.23000000000002
"172","X=~x3",NA,NA,0.5,"PLSc",1204,7775358,500,"Symmetric","2",FALSE,5.23000000000002
"173","Z=~z1",NA,NA,0.5,"PLSc",1204,7775358,500,"Symmetric","2",FALSE,5.23000000000002
"174","Z=~z2",NA,NA,0.5,"PLSc",1204,7775358,500,"Symmetric","2",FALSE,5.23000000000002
"175","Z=~z3",NA,NA,0.5,"PLSc",1204,7775358,500,"Symmetric","2",FALSE,5.23000000000002
"176","Y=~y1",NA,NA,0.5,"PLSc",1204,7775358,500,"Symmetric","2",FALSE,5.23000000000002
"177","Y=~y2",NA,NA,0.5,"PLSc",1204,7775358,500,"Symmetric","2",FALSE,5.23000000000002
"178","Y=~y3",NA,NA,0.5,"PLSc",1204,7775358,500,"Symmetric","2",FALSE,5.23000000000002
"179","Y~X",NA,NA,0.4,"PLSc",1204,7775358,500,"Symmetric","2",FALSE,5.23000000000002
"180","Y~Z",NA,NA,0.5,"PLSc",1204,7775358,500,"Symmetric","2",FALSE,5.23000000000002
"181","Y~X:Z",NA,NA,0.3,"PLSc",1204,7775358,500,"Symmetric","2",FALSE,5.23000000000002
"182","X~~Z",NA,NA,0.2,"PLSc",1204,7775358,500,"Symmetric","2",FALSE,5.23000000000002
"183","X=~x1",0.79713375002646,0.115512049145552,0.5,"PLS",1204,7775358,500,"Symmetric","2",TRUE,2.94999999999999
"184","X=~x2",0.629944330695424,0.159768659930651,0.5,"PLS",1204,7775358,500,"Symmetric","2",TRUE,2.94999999999999
"185","X=~x3",0.533222878753311,0.185137238520567,0.5,"PLS",1204,7775358,500,"Symmetric","2",TRUE,2.94999999999999
"186","Z=~z1",0.424466759398409,0.166033466184261,0.5,"PLS",1204,7775358,500,"Symmetric","2",TRUE,2.94999999999999
"187","Z=~z2",0.763481817607119,0.0887442550605952,0.5,"PLS",1204,7775358,500,"Symmetric","2",TRUE,2.94999999999999
"188","Z=~z3",0.730754285403972,0.0955393888091867,0.5,"PLS",1204,7775358,500,"Symmetric","2",TRUE,2.94999999999999
"189","Y=~y1",0.792065510589971,0.0825268239158193,0.5,"PLS",1204,7775358,500,"Symmetric","2",TRUE,2.94999999999999
"190","Y=~y2",0.488231878613294,0.146259811610101,0.5,"PLS",1204,7775358,500,"Symmetric","2",TRUE,2.94999999999999
"191","Y=~y3",0.591355153767119,0.114325370948022,0.5,"PLS",1204,7775358,500,"Symmetric","2",TRUE,2.94999999999999
"192","Y~X",0.150081863062683,0.0454157215918836,0.4,"PLS",1204,7775358,500,"Symmetric","2",TRUE,2.94999999999999
"193","Y~Z",0.205791153184663,0.041359025967798,0.5,"PLS",1204,7775358,500,"Symmetric","2",TRUE,2.94999999999999
"194","Y~X:Z",0.121412863490299,0.0556875611975193,0.3,"PLS",1204,7775358,500,"Symmetric","2",TRUE,2.94999999999999
"195","X~~Z",0.114781538404111,0.0473569120948785,0.2,"PLS",1204,7775358,500,"Symmetric","2",TRUE,2.94999999999999
"196","X=~x1",0.408,0.084,0.5,"Mplus",1204,7775358,500,"Symmetric","2",TRUE,101.29
"197","X=~x2",0.511,0.091,0.5,"Mplus",1204,7775358,500,"Symmetric","2",TRUE,101.29
"198","X=~x3",0.524,0.097,0.5,"Mplus",1204,7775358,500,"Symmetric","2",TRUE,101.29
"199","Z=~z1",0.392,0.078,0.5,"Mplus",1204,7775358,500,"Symmetric","2",TRUE,101.29
"200","Z=~z2",0.433,0.091,0.5,"Mplus",1204,7775358,500,"Symmetric","2",TRUE,101.29
"201","Z=~z3",0.629,0.104,0.5,"Mplus",1204,7775358,500,"Symmetric","2",TRUE,101.29
"202","Y=~y1",0.631,0.109,0.5,"Mplus",1204,7775358,500,"Symmetric","2",TRUE,101.29
"203","Y=~y2",0.253,0.084,0.5,"Mplus",1204,7775358,500,"Symmetric","2",TRUE,101.29
"204","Y=~y3",0.473,0.107,0.5,"Mplus",1204,7775358,500,"Symmetric","2",TRUE,101.29
"205","Y~X",0.33,0.12,0.4,"Mplus",1204,7775358,500,"Symmetric","2",TRUE,101.29
"206","Y~Z",0.455,0.121,0.5,"Mplus",1204,7775358,500,"Symmetric","2",TRUE,101.29
"207","Y~X:Z",0.766,0.142,0.3,"Mplus",1204,7775358,500,"Symmetric","2",TRUE,101.29
